2024-05-14 14:17:22,076 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-05-14 14:17:22,092 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-05-14 14:17:22,093 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-05-14 14:17:22,093 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-05-14 14:17:22,094 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-05-14 14:17:22,095 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-05-14 14:17:22,095 INFO  SwAddin.cs: 201 - Setting up command manager
2024-05-14 14:17:22,096 INFO  SwAddin.cs: 204 - Adding command manager
2024-05-14 14:17:22,098 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-05-14 14:17:22,100 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-05-14 14:17:22,101 INFO  SwAddin.cs: 210 - Adding event handlers
2024-05-14 14:17:22,103 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-05-14 14:40:35,535 INFO  SwAddin.cs: 294 - Assembly export called for file 装配体苗总模组图纸
2024-05-14 14:40:35,536 INFO  SwAddin.cs: 299 - Save is required
2024-05-14 14:40:35,536 INFO  SwAddin.cs: 313 - Saving assembly
2024-05-14 14:40:35,536 INFO  SwAddin.cs: 316 - Opening property manager
2024-05-14 14:40:35,545 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体苗总模组图纸
2024-05-14 14:40:35,548 INFO  ExportHelperExtension.cs: 1136 - Found 44 in 装配体苗总模组图纸
2024-05-14 14:40:35,548 INFO  ExportHelperExtension.cs: 1145 - Found 7 features of type [CoordSys] in 装配体苗总模组图纸
2024-05-14 14:40:35,548 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-05-14 14:40:35,548 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体苗总模组图纸(2)^装配体苗总模组图纸-1
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1136 - Found 28 in 装配体苗总模组图纸(2)^装配体苗总模组图纸-1
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 装配体苗总模组图纸(2)^装配体苗总模组图纸-1
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 装配体苗总模组图纸
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1136 - Found 44 in 装配体苗总模组图纸
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [RefAxis] in 装配体苗总模组图纸
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 装配体苗总模组图纸(2)^装配体苗总模组图纸-1
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1136 - Found 28 in 装配体苗总模组图纸(2)^装配体苗总模组图纸-1
2024-05-14 14:40:35,551 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 装配体苗总模组图纸(2)^装配体苗总模组图纸-1
2024-05-14 14:40:35,847 INFO  SwAddin.cs: 339 - Loading config tree
2024-05-14 14:40:35,847 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-05-14 14:40:35,873 INFO  SwAddin.cs: 344 - Showing property manager
2024-05-14 14:41:33,461 INFO  ExportPropertyManager.cs: 1036 - OnListboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-05-14 14:43:41,770 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-05-14 14:44:06,049 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-05-14 14:44:10,147 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
